Loan_ID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,PropertyArea,LoanStatus
001002,Male,No,0,Graduate,No,5849,0,,360,Urban,Y
001003,Male,Yes,1,Graduate,No,4583,1508,128,360,Rural,N
001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,Urban,Y
001006,Male,Yes,0,Not_Graduate,No,2583,2358,120,360,Urban,Y
001008,Male,No,0,Graduate,No,6000,0,141,360,Urban,Y
001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,Urban,Y
001013,Male,Yes,0,Not_Graduate,No,2333,1516,95,360,Urban,Y
001014,Male,Yes,3,Graduate,No,3036,2504,158,360,Semiurban,N
001018,Male,Yes,2,Graduate,No,4006,1526,168,360,Urban,Y
001020,Male,Yes,1,Graduate,No,12841,10968,349,360,Semiurban,N
001024,Male,Yes,2,Graduate,No,3200,700,70,360,Urban,Y
001027,Male,Yes,2,Graduate,,2500,1840,109,360,Urban,Y
001028,Male,Yes,2,Graduate,No,3073,8106,200,360,Urban,Y
001029,Male,No,0,Graduate,No,1853,2840,114,360,Rural,N
001030,Male,Yes,2,Graduate,No,1299,1086,17,120,Urban,Y
001032,Male,No,0,Graduate,No,4950,0,125,360,Urban,Y
001034,Male,No,1,Not_Graduate,No,3596,0,100,240,Urban,Y
001036,Female,No,0,Graduate,No,3510,0,76,360,Urban,N
001038,Male,Yes,0,Not_Graduate,No,4887,0,133,360,Rural,N
001041,Male,Yes,0,Graduate,,2600,3500,115,,Urban,Y
001043,Male,Yes,0,Not_Graduate,No,7660,0,104,360,Urban,N
001046,Male,Yes,1,Graduate,No,5955,5625,315,360,Urban,Y
001047,Male,Yes,0,Not_Graduate,No,2600,1911,116,360,Semiurban,N
001050,,Yes,2,Not_Graduate,No,3365,1917,112,360,Rural,N
001052,Male,Yes,1,Graduate,,3717,2925,151,360,Semiurban,N
001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,Semiurban,Y
001068,Male,Yes,0,Graduate,No,2799,2253,122,360,Semiurban,Y
001073,Male,Yes,2,Not_Graduate,No,4226,1040,110,360,Urban,Y
001086,Male,No,0,Not_Graduate,No,1442,0,35,360,Urban,N
001087,Female,No,2,Graduate,,3750,2083,120,360,Semiurban,Y
001091,Male,Yes,1,Graduate,,4166,3369,201,360,Urban,N
001095,Male,No,0,Graduate,No,3167,0,74,360,Urban,N
001097,Male,No,1,Graduate,Yes,4692,0,106,360,Rural,N
001098,Male,Yes,0,Graduate,No,3500,1667,114,360,Semiurban,Y
001100,Male,No,3,Graduate,No,12500,3000,320,360,Rural,N
001106,Male,Yes,0,Graduate,No,2275,2067,,360,Urban,Y
