Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y
LP001002,0.0,5849,0,128.0,360.0,True,False,False,False,False,True,True
LP001003,1.0,4583,1508,128.0,360.0,True,True,False,False,False,False,False
LP001005,0.0,3000,0,66.0,360.0,True,True,False,True,False,True,True
LP001006,0.0,2583,2358,120.0,360.0,True,True,True,False,False,True,True
LP001008,0.0,6000,0,141.0,360.0,True,False,False,False,False,True,True
LP001011,2.0,5417,4196,267.0,360.0,True,True,False,True,False,True,True
LP001013,0.0,2333,1516,95.0,360.0,True,True,True,False,False,True,True
LP001014,3.0,3036,2504,158.0,360.0,True,True,False,False,True,False,False
LP001018,2.0,4006,1526,168.0,360.0,True,True,False,False,False,True,True
LP001020,1.0,12841,10968,349.0,360.0,True,True,False,False,True,False,False
LP001024,2.0,3200,700,70.0,360.0,True,True,False,False,False,True,True
LP001027,2.0,2500,1840,109.0,360.0,True,True,False,False,False,True,True
LP001028,2.0,3073,8106,200.0,360.0,True,True,False,False,False,True,True
LP001029,0.0,1853,2840,114.0,360.0,True,False,False,False,False,False,False
LP001030,2.0,1299,1086,17.0,120.0,True,True,False,False,False,True,True
LP001032,0.0,4950,0,125.0,360.0,True,False,False,False,False,True,True
LP001034,1.0,3596,0,100.0,240.0,True,False,True,False,False,True,True
LP001036,0.0,3510,0,76.0,360.0,False,False,False,False,False,True,False
LP001038,0.0,4887,0,133.0,360.0,True,True,True,False,False,False,False
LP001041,0.0,2600,3500,115.0,360.0,True,True,False,False,False,True,True
LP001043,0.0,7660,0,104.0,360.0,True,True,True,False,False,True,False
LP001046,1.0,5955,5625,315.0,360.0,True,True,False,False,False,True,True
LP001047,0.0,2600,1911,116.0,360.0,True,True,True,False,True,False,False
LP001050,2.0,3365,1917,112.0,360.0,True,True,True,False,False,False,False
LP001052,1.0,3717,2925,151.0,360.0,True,True,False,False,True,False,False
LP001066,0.0,9560,0,191.0,360.0,True,True,False,True,True,False,True
LP001068,0.0,2799,2253,122.0,360.0,True,True,False,False,True,False,True
LP001073,2.0,4226,1040,110.0,360.0,True,True,True,False,False,True,True
LP001086,0.0,1442,0,35.0,360.0,True,False,True,False,False,True,False
